,abandon,abbott,abc tv,abil,abl,abnorm,abound,abov,absenc,absolut,absorb,accept,accompani,accord,accur,ace,across,act,action,activ,actual,acut,addit,administ,administr,adopt,advanc,affect,affluent,aftershock,age,agenc,agno,ago,agre,aid,ailment,air,airport,alamo,alarm,alaska,albert,alderman,alert,aliv,allan,allen,almost,alon,along,alreadi,also,alter,altern,although,alto,alway,am sf,ambul,america,american,among,amount,amp,andrea,angel,angina,angioplasti,angiotensin,angrili,anheuser busch,ani,annal,announc,annual,anoth,answer,anticip,anybodi,anyon,apart,appar,appear,appli,applic,appreci,approach,approv,april,architect,area,arena,argu,aris,ark,armenia,armenian,armi,around,arrest,arriv,art,arteri,arthur,articl,artifici,asian,aspect,aspirin,assassin,assess,assign,assist,associ,assum,assumpt,asthma,athlet,atop,attack,attent,attribut,aug,august,author,avail,avenu,averag,avoid,await,awak,away,back,back to back,bad,bag,balagu,balanc,baldwin,ball,balloon,bank,base,basi,battery pow,bautista,bay,bayshor,beach,beat,becam,becaus,becom,bed,beer,befor,began,begin,begun,behav,believ,beller,belong,beneath,benefici,benefit,benito,berkeley,bernadin,besid,best,best known,bet,beta,better,big,big sel,bigger,biggest,bill,billion,billion a year,biochemist,biotechnolog,bit,black,blackburn,blame,blaze,bleed,blind,blitz,block,blockag,blocker,blood,blood vessel,bloodstream,blow,boat,bob,bodi,boost,boston,bottom,bradley,brain,braunwald,break,breweri,brick,bridg,brigham,bring,bristol my,british,broadcast,broke,broken,brown,buchwald,buckl,budget,buffalo,build,buildup,built,bunch,bure,bureau,burn,burton,buse,bush,busi,bypass,cabl,cahil,cake,calamit,calavera,calcium,calif,california,californian,call,caller,caltech,came,canada,cancel,cancer,candid,candlestick,candon,canteen,capabl,capoten,car,cardboard,cardiac,cardiolog,cardiologist,cardiovascular,care,carl,carolina,carri,case,cast,catastroph,cater,cathet,caus,caution,cautiou,cave,cbs tv,cecil,cell,center,central,centuri,certain,certainli,certainti,chain,chairman,chanc,chang,channel,charg,chariti,charleston,chemic,chesebro,chest,chief,chimney,chinatown,choke,cholesterol,cholesterol low,christoph,chronic,churnin,cigarett,circul,cite,citi,citizen,citywid,civic,clara,clarenc,class,classifi,clear,clearli,cleveland,clinic,clog,close,clot,clot dissolv,cnn,co author,co written,coachella,coast,coastlin,code,coffer,coincid,col,collaps,colleagu,collect,colleg,collin,colo,columbia,column,combin,come,comment,commentari,commerci,commiss,common,commonli,commun,compani,compar,comparison,compass,competitor,complain,complet,complic,concentr,concern,conclud,concret,condit,conduct,confirm,conflict,congest,connect,consensu,consid,consider,constitut,construct,consumpt,contin,continu,contractor,contrast,contribut,control,controversi,convalesc,conven,convert,cook,cooper,cope,copenhagen,cornel,coronari,corp,cosmet,cost,costliest,cot,could,council,counti,countri,courag,cover,coyot,crash,creatin,critic,cross,crowd,crumbl,cruz,curfman,current,curtain,cut,d c,dala,damag,danger,dangl,danish,david,day,daybreak,dead,deadli,deadliest,death,debat,debri,decad,decid,deck,declin,decreas,deep,deep felt,defend,definit,degre,delay,deliv,deliveri,demonstr,demor,denmark,depart,depend,deposit,depriv,deputi,describ,design,desk,despit,destroy,destruct,detect,determin,devast,develop,devic,devis,dewey,diabet,diagnosi,diarrhea,die,diego,diet,differ,dig,diltiazem,direct,director,disabl,disagre,disast,discharg,discov,discoveri,discuss,diseas,disneyland,dispatch,disrupt,dissolv,distinguish,district,doctor,doctorr,doe,donat,done,door,dose,doubl,double deck,doubt,downtown,dozen,drain,dramat,drawback,dredg,drink,drive,drop,drug,due,dummi,dure,dwayn,dweller,dwight,dynamit,dzau,earli,earlier,early discharg,earth,earthquak,eas,east,east northeast,eastern,eat,echo,econom,economi,edit,editor,editori,effect,effort,eight,einstein,eisenhow,either,elaps,electr,eleg,eleph,elev,elizabeth,embarcadero,emerg,emin,emphas,emphysema,encourag,end,engin,england,enough,enrol,entir,entri,epicent,episod,eqe,equal,equip,erect,eric,escap,especi,establish,estim,eugen,evacu,evalu,even,event,eventu,ever,everett,everi,everybodi,everyon,everyth,evid,except,exclus,exercis,exist,expect,expens,experi,experienc,experiment,expert,explain,express,extend,extens,extent,extra,extraordinarili,extrem,eyewit,face,fact,factor,factori,fail,failur,fairfield,fall,fan,far,fashion,faster,fat,fatal,fate,fault,favor,fda,fear,feder,feed,feel,feet,fell,felt,fernando,ferraez,fewer,field,fight,figur,file,fill,fillmor,final,financi,find,fire,firm,first,fiscal,fischer,fish,fisherman,five,five year,flame,flat,fled,flee,fli,floor,flora,florida,flow,focus,fog,fold,follow,followup,food,foot,footag,forc,foreshock,foretel,forgen,forget,form,format,forth,forti,fortun,forum,forward,found,foundat,four,four stori,fourth floor,fractur,francico,francisco,francisco oakland,frank,free,freeway,french,frequent,friday,friend,front,fruit,frustrat,function,furiou,futur,fwi,gallon,gallston,galvac,game,garag,gate,gato,gave,genentech,gener,geolog,geophys,geophysicist,georg,get,giant,gilroy,give,given,glass,goal,golden,gone,good,got,govern,grain,great,greater,greenberg,gregori,gridlock,grind,ground,group,growth,guard,guilti,gush,gust,guy,habit,half,hall,hand,hansen,happen,harbor,hard,hardest hit,harm,harvard,hayward,hazard,headach,heal,heali,health,healthi,healthier,healthiest,hear,heart,heart attack,heaton,heav,heavi,heavili,helicopt,help,hemorrhag,henri,high,high ris,higher,highest,highli,highway,hill,hillerod,hint,histor,histori,hit,hold,hollist,home,hopkin,horizont,horror,hors,hospit,hotel,hour,hous,howard,howev,huge,hugo,human,humong,hundr,hurri,hurrican,hurt,hypertens,iben,ice,identifi,ileal,immedi,impact,implic,import,improv,in hospit,inact,inc,incid,includ,incomplet,inconvenienc,increas,increasingli,indic,induc,industri,ineervent,infarct,inflat,inform,infrastructur,inhibit,inhibitor,initi,inject,injur,injuri,insid,inspect,instabl,instanc,instantli,instead,institu,institut,intact,intend,intens,interchang,interfer,interior,intern,interpret,interrupt,interst,interv,interview,intestin,introduc,invari,investig,involv,irregular,ischem,ischemia,isol,israel,issu,j c,jam,jame,januari,japan,jay,jean,jefferson,jerri,jet,jim,job,john,join,joint,jolt,jose,joseph,journal,juan,judg,judgment,juli,jump,junction,june,justif,justifi,keep,kennedi,kept,key,kidney,kill,killer,kinas,kind,kit,kitchen,knew,knock,know,known,koop,kresten,lab,laboratori,lake,lamppost,land,landfil,landmark,laragh,larg,larger,larri,laserphoto,last,late,later,latest,lead,learn,least,leav,lectur,ledger,lee,lefer,left,lend,length,lengthen,leon,less,lesson,lethal,letter,level,librari,life,lifelin,light,like,likelihood,liken,limit,line,linger,lipid,listen,liter,litter,littl,live,load,local,locat,logic,london,long,long term,longer,longest,look,lose,loss,lost,lot,loui,low,lower,lubenow,luckili,luxuri,m p h,made,magnitud,magnitude,main,mainli,maintain,major,make,maker,male,mall,man,manag,mani,manpow,march,marin,marina,mark,market,masonri,mass,mateo,maximum,may,mayo,mayor,mean,meaning,meant,meanwhil,measur,medic,medicin,meet,mellemgaard,mendocino,menlo,merci,merck,messag,metropolitan,mexico,michael,michigan,middl,midnight,might,mighti,mild,mile,milligram,million,minim,minneapoli,minnesota,minor,minut,miocardi,miss,mistak,mobil,moder,modern,modern day,modestli,month,moon,morgan,mortal,moss,motion,mountain,move,movement,much,mullin,municip,muscl,must,myocardi,myron,mysteri,n m,n t,narrow,nation,natur,near,near norm,nearbi,nearest,nearli,necrosi,need,neeli,neighbor,neighborhood,network,nev,never,new,newest,news,next,night,nimitz,nine,nitrat,nob,non aspirin,non fat,none,nonfat,nonsmok,normal,north,northeast,northern,not too dist,note,noth,nourish,number,numer,nutrit,oakland,obes,obscur,observ,obstruct,obtain,obviou,occup,occur,oct,octob,offer,offic,offici,offset,often,old,older,on scen,onc,one,one third,onli,onto,open,oper,opera,oppos,opposit,ore,organ,osaka,ought,outsid,outwardli,overal,overcross,overhead,overnight,overpass,owner,oxford,oxygen,oxygen rich,p m,pacif,page,pain,palo,panic,paper,paramed,park,parkfield,part,partial,particip,particularli,partli,pasadena,pass,passabl,passeng,past,patent,path,patient,patrol,pattern,payment,pdt,peck,pedestrian,peel,penalti,penney,peopl,pepin,per,percent,perform,perhap,period,perman,persist,person,person year,persuad,peter,peto,phase,philadelphia,philippin,phone,physician,pickup earthquak,pictur,piec,pinpoint,pioneer,pitch,place,placebo,plane,plasminogen,plaster,platelet,player,plop,plume,pocket,point,polic,ponder,pool,poor,popul,population bas,portion,portland,possibl,postpon,potenti,poultri,pour,power,practic,preced,precursor,predict,pregam,preliminari,prepar,prescrib,present,preshock,presid,president elect,press,pressur,prevent,previou,primarili,princip,privat,probabl,problem,procedur,process,produc,profession,professor,profil,profound,program,progress,promot,prone,proper,properti,protect,protein,prove,proven,provid,provok,public,publish,pulmonari,pump,punch,purpos,put,puzzl,pyramid,quak,question,quickli,quit,quotes earthquak,radar,radio,rais,randomli,rang,rapid,rash,rat,rate,ravag,raze,reach,reaction,read,readi,real,realiti,reced,receiv,recent,recommend,record,recov,recoveri,recruit,recur,red,reduc,refer,reflect,refrain,refriger,regardless,region,regist,rel,relationship,releas,relief,reliev,remain,rememb,remind,render,renin,reno,reopen,repair,repeat,replac,report,reportedli,repres,requir,rescu,research,resid,resourc,respect,respond,respons,rest,restaur,restor,result,return,revenu,revers,richard,richter,right,riley,rise,risk,roadsid,roadway,rochest,rock,role,roof,room,roughli,rout,routin,rubbl,ruben,rumbl,run,ruptur,rush,russian,ryan,s c,sacramento,safe,safeti,said,sale,salt,salton,salvat,sampl,samuel,san,sandia,santa,saratoga,satisfi,saturday,savag,save,saw,say,scale,scar,scare,scene,schedul,scholz,school,schoolteach,schroeder,scienc,scientist,score,scream,screen,sea,seal,sealey,searcher,seat,seattl,second,secretari,section,secur,see,seem,seemingli,seen,segment,seismic,seismograph,seismologist,select,send,sens,sent,septemb,seri,seriou,servic,settl,seven,sever,shake,shaken,shambl,shape,share,shatter,shelter,shift,ship,shipment,shock,shook,shop,short,shorten,shorter,shortli,show,shown,shut,side,sideway,sign,signal,signficantli,signific,significantli,silicon,similar,simpl,simul,sinc,singl,sister,sit,site,situat,six,sixti,sizabl,size,skinner,skylin,skyscrap,sleight,slide,slight,slip,slippag,slowli,slug,small,smaller,smell,smoke,smoker,snow,sobel,soil,solid,somebodi,somehow,someth,sometim,somewhat,sonic,sonoma,soon,sooner,sophist,sound,south,southeast,southern,southernmost,southward,southwest,space,span,spare,spars,special,speed,spent,spokesman,spokeswoman,spontan,spot,squad,squeez,squibb,stadium,stage,stanchion,stand,standard,standbi,standpoint,stanford,start,state,station,statist,statistician,statu,stay,steadi,step,step up,stewar,still,stone,stood,stop,stop it,store,stori,storm,storm lash,strain,strateg,strategi,stream,street,stress,stretch,strike,strike slip,stroke,strong,stronger,strongest,struck,structur,studi,subject,subsequ,substanc,substanti,substitut,suburb,subway,success,suffer,suffici,suggest,sullivan,summit,sunday,sunnyval,suppli,support,sure,surgeon,surgeri,surgic,surpris,surprisingli,survey,surviv,survivor,suspect,sustain,suzyn,sway,sweep,swept,swim,sylmar san,symbol,sympathi,symptom,system,tablet,take,talk,tall,target,taxpay,teach,team,techniqu,technolog,telecast,telegraph,telephon,televis,tell,temblor,temporarili,tend,tenderloin,tenfold,terciari,term,terrifi,test,tgf,themselv,theori,therapi,therefor,thi,thing,think,third,thoma,though,thought,three,three day,three decad,thrombolysi,throughout,thu,thursday,tidal,time,timi ii,tini,tire,tissu,titl,tobin,today,togeth,tokyo,told,toler,tom,took,top,topol,torn,total,touch,tour,tourism,tourism bas,tourist,toward,tower,town,townhous,tpa,track,traffic,trailer,train,transamerica,transfer,transform,transit,transplant,transport,trap,travel,treadmil,treat,treatment,tree,tremend,trend,tri,trial,trigger,tripl,troubl,trudi,tsunami,tuesday,tumor,turn,twice,two,type,typic,u s,ultim,unabl,unbeliev,uncompl,unconfirm,undergo,underli,underneath,undersheriff,understand,underw,undetect,unfold,unidentifi,uninhabit,union,unit,univers,unknown,unless,unlik,unnecessari,unreinforc,unsaf,unscath,unstabl,unsur,unusu,upcom,upper,urg,urgent,urin,use,user,usg,usual,valley,valu,vari,varieti,variou,vasotec,veget,verapamil,veri,versu,vertic,vessel,vessey,vicin,victim,victor,victorian,view,violent,virginia,virtual,visibl,visit,visitor,vital,vulner,wage,wait,waiv,waldman,walk,wall,wander,want,war,ward,warn,warrant,washington,watch,water,waverli,way,weaken,week,weisfeldt,well,went,west,wfan am,wharf,whether,whi,whittier,whole,whose,wide,widespread,wife,wind,window,wine,within,without,withstand,women,wonder,word,work,work sit,worker,workload,world,worldwid,worst,would,writer,wrong,wrote,yanev,year,yeast,yell,yesterday,yet,york,young
1,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,,14.0,,,,3.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,2.0,,,,,,13.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,3.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,1.0,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,1.0,,1.0,,,,,,,,,,,,,,,4.0,,,3.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,4.0,,,5.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,9.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,4.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,1.0,,,,,,,,3.0,2.0,,,,1.0,3.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,
2,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,2.0,,,1.0,4.0,,,,,,,,,1.0,3.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,29.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,23.0,,,,,,,,,,21.0,,1.0,2.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,5.0,1.0,,,,,,,,,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,2.0,,,1.0,3.0,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,1.0,1.0,,2.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,1.0,,,,1.0,,,,3.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,16.0,,,,,,,,,,5.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,11.0,,2.0,,,,,,2.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,25.0,,,,,,1.0,,,,,2.0,,,1.0,,,,,,2.0,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,6.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,3.0,,,,,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,12.0,,,3.0,,,5.0,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,5.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,3.0,1.0,2.0,,,,,,,,2.0,,3.0,,,,,2.0,
3,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,6.0,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
